dataset,fragment,events,generator,time per event,filter efficiency,size per event
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,409585,pythia8-evtgen,8.41e-02,8.00e-04,6.06e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,333763,pythia8-evtgen,8.48e-02,8.35e-04,6.00e+02
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,419783,pythia8-evtgen,8.50e-02,8.62e-04,6.02e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,2000000,pythia8-evtgen,3.97e+00,8.52e-02,6.08e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,840336,pythia8-evtgen,7.01e+00,1.53e-01,6.09e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,452489,pythia8-evtgen,6.57e+00,1.54e-01,6.09e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,473934,pythia8-evtgen,7.14e+00,1.54e-01,6.09e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,621118,pythia8-evtgen,1.34e+00,3.40e-02,6.30e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,315457,pythia8-evtgen,1.07e+00,3.49e-02,6.30e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,386847,pythia8-evtgen,1.08e+00,3.47e-02,6.31e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,684932,pythia8-evtgen,1.03e+00,3.47e-02,6.32e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,814332,pythia8-evtgen,9.83e-02,1.22e-03,6.81e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,883392,pythia8-evtgen,1.00e-01,1.22e-03,6.82e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1152074,pythia8-evtgen,9.96e-02,1.23e-03,6.82e+02
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau0p01mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.01mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1162791,pythia8-evtgen,9.22e-02,1.19e-03,6.87e+02
